date,CN_airport_entry,global_airport_entry,CN_airport_departure,global_airport_departure
2022-05-02,13,47,26,14
2022-05-03,14,65,27,19
2022-05-04,19,84,24,20
2022-05-05,21,52,68,36
2022-05-06,19,112,46,22
2022-05-07,10,100,23,33
2022-05-08,31,98,58,40
2022-05-09,27,77,16,28
2022-05-10,25,51,57,44
2022-05-11,36,102,107,42
2022-05-12,45,90,140,68
2022-05-13,86,135,61,53
2022-05-14,91,113,22,53
2022-05-15,193,149,69,54
2022-05-16,185,123,34,48
2022-05-17,212,75,39,32
2022-05-18,354,104,38,66
2022-05-19,623,141,60,57
2022-05-20,430,126,126,52
2022-05-21,368,103,12,46
2022-05-22,476,130,104,76
2022-05-23,495,150,138,46
2022-05-24,364,63,138,45
2022-05-25,971,131,198,62
2022-05-26,470,168,269,87
2022-05-27,739,139,233,77
2022-05-28,432,113,49,82
2022-05-29,1056,238,194,71
2022-05-30,540,64,304,94
2022-05-31,477,62,181,98
2022-06-01,1048,163,338,102
2022-06-02,825,144,239,88
2022-06-03,967,161,201,97
2022-06-04,526,149,17,94
2022-06-05,1189,188,328,113
2022-06-06,936,134,270,60
2022-06-07,630,86,229,86
2022-06-08,1087,142,352,110
2022-06-09,726,152,377,107
2022-06-10,1232,186,425,100
2022-06-11,854,184,26,99
2022-06-12,1025,192,375,105
2022-06-13,809,99,450,125
2022-06-14,796,110,348,96
2022-06-15,1416,149,545,137
2022-06-16,1044,170,337,133
2022-06-17,1333,172,343,105
2022-06-18,1019,151,156,137
2022-06-19,1351,154,448,125
2022-06-20,1087,132,279,117
2022-06-21,949,195,462,127
2022-06-22,1099,117,383,100
2022-06-23,1012,179,528,151
2022-06-24,1193,168,249,118
2022-06-25,1088,131,114,129
2022-06-26,1081,143,512,138
2022-06-27,1033,133,570,98
2022-06-28,772,89,353,127
2022-06-29,1131,112,490,155
2022-06-30,964,150,473,121
2022-07-01,1193,167,726,133
2022-07-02,779,129,515,211
2022-07-03,903,186,471,199
2022-07-04,1154,136,384,121
2022-07-05,641,81,366,187
2022-07-06,1151,149,497,160
2022-07-07,646,115,457,134
2022-07-08,1000,203,546,171
2022-07-09,1060,207,545,223
2022-07-10,1252,238,419,168
2022-07-11,1149,175,500,135
2022-07-12,1087,170,595,180
2022-07-13,1262,165,408,132
2022-07-14,922,163,529,143
2022-07-15,1437,225,599,185
2022-07-16,1070,164,685,275
2022-07-17,1073,191,609,187
2022-07-18,1305,154,429,145
2022-07-19,1015,178,660,151
2022-07-20,1209,174,763,179
2022-07-21,977,137,847,162
2022-07-22,1134,196,1135,190
2022-07-23,969,117,781,238
2022-07-24,1109,216,950,201
2022-07-25,1394,173,801,162
2022-07-26,1130,155,744,177
2022-07-27,1228,207,822,142
2022-07-28,1090,157,740,180
2022-07-29,1216,176,992,199
2022-07-30,1020,189,889,314
2022-07-31,1033,158,967,222
2022-08-01,1225,276,685,142
2022-08-02,729,187,813,166
2022-08-03,1240,205,623,199
2022-08-04,833,162,865,214
2022-08-05,1167,238,948,203
2022-08-06,975,172,828,266
2022-08-07,806,217,871,205
2022-08-08,1203,238,805,170
2022-08-09,1096,234,704,247
2022-08-10,1037,202,808,230
2022-08-11,1176,244,963,232
2022-08-12,1516,290,984,252
2022-08-13,1136,227,822,344
2022-08-14,1264,324,970,237
2022-08-15,1257,280,555,168
2022-08-16,1079,328,496,188
2022-08-17,1459,308,677,238
2022-08-18,1136,351,960,230
2022-08-19,1327,362,1163,263
2022-08-20,1160,301,781,404
2022-08-21,1382,367,914,270
2022-08-22,1196,333,698,206
2022-08-23,1213,320,654,269
2022-08-24,1094,293,1093,227
2022-08-25,662,268,876,228
2022-08-26,2439,521,1723,398
2022-08-27,1480,283,943,369
2022-08-28,1615,470,1278,319
2022-08-29,1228,283,571,291
2022-08-30,1785,425,1238,339
2022-08-31,1302,302,997,286
2022-09-01,1488,422,1154,315
2022-09-02,1602,500,1430,454
2022-09-03,1385,362,1089,395
2022-09-04,1654,417,1424,369
2022-09-05,1193,319,851,262
2022-09-06,1906,431,1350,345
2022-09-07,1367,365,975,346
2022-09-08,1349,447,1214,248
2022-09-09,1759,483,1437,412
2022-09-10,1189,316,935,346
2022-09-11,1447,452,1633,427
2022-09-12,1367,379,852,218
2022-09-13,1210,416,1430,290
2022-09-14,1494,334,946,320
2022-09-15,1242,502,1388,283
2022-09-16,1504,492,1631,470
2022-09-17,1081,336,921,442
2022-09-18,1303,439,1531,425
2022-09-19,1318,325,937,251
2022-09-20,1406,427,1480,396
2022-09-21,1645,344,1031,333
2022-09-22,1194,432,1154,303
2022-09-23,1113,433,1563,455
2022-09-24,1125,293,906,342
2022-09-25,1242,347,1402,510
2022-09-26,1308,298,694,330
2022-09-27,1196,460,1302,413
2022-09-28,1371,480,1035,431
2022-09-29,1115,550,1169,441
2022-09-30,1432,645,1478,534
2022-10-01,1076,572,932,582
2022-10-02,972,732,1332,592
2022-10-03,1574,722,609,421
2022-10-04,1004,677,1291,480
2022-10-05,1293,593,901,538
2022-10-06,1163,770,922,523
2022-10-07,1386,852,1315,606
2022-10-08,1226,795,919,648
2022-10-09,1104,987,1221,672
2022-10-10,1445,885,560,489
2022-10-11,1174,949,1245,730
2022-10-12,1262,846,847,609
2022-10-13,971,912,929,781
2022-10-14,1426,950,1517,954
2022-10-15,1082,836,1047,918
2022-10-16,1024,1102,1267,1153
2022-10-17,1310,1034,629,699
2022-10-18,1064,1071,1275,841
2022-10-19,1279,887,959,872
2022-10-20,1161,1090,983,819
2022-10-21,1428,1192,1487,1092
2022-10-22,1078,924,957,1042
2022-10-23,1085,1179,1235,1158
2022-10-24,1487,989,664,752
2022-10-25,1264,1078,1188,996
2022-10-26,1484,876,1021,1059
2022-10-27,1239,1162,874,894
2022-10-28,1580,1291,1587,1202
2022-10-29,1136,1168,1011,1034
2022-10-30,1345,1610,1140,1139
2022-10-31,1217,1263,701,926
2022-11-01,1284,1515,1385,1161
2022-11-02,1315,1368,704,1022
2022-11-03,1521,1430,1104,1177
2022-11-04,1384,1429,1315,1260
2022-11-05,1470,1410,1057,1398
2022-11-06,1717,1602,1460,1497
2022-11-07,1625,1564,707,1486
2022-11-08,1623,1618,1561,1392
2022-11-09,1355,1511,1033,1257
2022-11-10,1560,1452,1183,1348
2022-11-11,1743,1736,2031,1496
2022-11-12,1540,1559,1255,1650
2022-11-13,1883,1941,1548,1567
2022-11-14,1758,1886,789,1160
2022-11-15,1770,1799,2043,1640
2022-11-16,1693,1774,1299,1486
2022-11-17,1607,1708,1322,1608
2022-11-18,1491,1527,2142,1834
2022-11-19,1614,1813,1608,1751
2022-11-20,1540,1841,1953,1883
2022-11-21,1853,1931,853,1438
2022-11-22,1749,1821,1992,1706
2022-11-23,1828,2093,1243,1491
2022-11-24,1679,1876,1511,1660
2022-11-25,1508,1742,2122,1817
2022-11-26,1539,1876,1375,2142
2022-11-27,1654,2046,1864,2299
2022-11-28,1672,1851,959,1838
2022-11-29,1667,1775,1763,2009
2022-11-30,1773,2051,1381,1902
2022-12-01,1461,2068,1598,2021
2022-12-02,1609,1841,2068,1951
2022-12-03,1683,2285,1384,2076
2022-12-04,1822,2298,1780,2220
2022-12-05,2153,2355,1052,1998
2022-12-06,1824,2245,1811,2072
2022-12-07,1805,2231,1484,1954
2022-12-08,1970,2439,1779,2230
2022-12-09,1558,1926,2099,2445
2022-12-10,1650,2289,1381,2428
2022-12-11,1747,2232,1785,2473
2022-12-12,1992,2220,1276,2359
2022-12-13,1631,2217,1764,2294
2022-12-14,1611,2138,1674,1977
2022-12-15,1804,2637,1949,2177
2022-12-16,1513,2506,2229,2142
2022-12-17,1409,2790,1436,1934
2022-12-18,1449,2679,1650,2216
2022-12-19,1716,2689,1320,2205
2022-12-20,1922,3231,1793,2184
2022-12-21,1766,3363,1381,2050
2022-12-22,2217,3673,1553,1953
2022-12-23,1922,3800,1924,1776
2022-12-24,1894,4034,1599,1751
2022-12-25,2463,3231,1967,2069
2022-12-26,2247,3158,1869,2649
2022-12-27,1595,2912,2007,3308
2022-12-28,1627,3328,1592,3410
2022-12-29,2035,3625,1657,3478
2022-12-30,1784,3585,1849,4052
2022-12-31,1618,2512,1558,3255
2023-01-01,1687,2456,1648,4644
2023-01-02,1624,1857,1422,6713
2023-01-03,1663,2459,1652,4621
2023-01-04,1886,2833,1533,3740
2023-01-05,2304,3164,1434,3422
2023-01-06,2468,3391,1684,3308
2023-01-07,2885,3456,1590,3585
2023-01-08,3019,4135,2949,4410
2023-01-09,3403,4203,2286,3384
2023-01-10,3419,4169,2533,3931
2023-01-11,3777,4088,2732,4596
2023-01-12,3769,4270,2686,4797
2023-01-13,3834,4362,3286,5093
2023-01-14,3548,3969,3075,5448
2023-01-15,3469,3799,3631,6205
2023-01-16,3389,3432,2934,4649
2023-01-17,3476,3125,2870,4633
2023-01-18,3984,3744,2837,4046
2023-01-19,4444,4389,2393,3684
2023-01-20,4068,5256,1913,2809
2023-01-21,2435,5535,1036,2422
2023-01-22,3126,4307,1484,2934
2023-01-23,4214,4380,1810,2898
2023-01-24,3690,4251,2219,4172
2023-01-25,2938,3305,2668,3704
2023-01-26,3869,4224,3511,3986
2023-01-27,2955,3898,4291,4348
2023-01-28,2225,3008,3715,4938
2023-01-29,1582,2481,4058,5617
2023-01-30,2883,3382,3244,3733
2023-01-31,2933,3577,3203,3547
2023-02-01,3951,4675,3230,3012
2023-02-02,5118,5619,3203,3180
2023-02-03,4576,6473,3651,3724
2023-02-04,4583,5697,3405,3957
2023-02-05,3859,5410,3598,5739
2023-02-06,4946,6154,3686,4586
2023-02-07,4539,5653,3598,4811
2023-02-08,4953,6021,3978,4614
2023-02-09,5226,7014,3904,4593
2023-02-10,4865,7265,4472,5570
2023-02-11,4650,6667,4234,5723
2023-02-12,4288,6717,4720,7800
2023-02-13,5122,6676,4093,6160
2023-02-14,4309,6452,3926,5614
2023-02-15,4821,7383,4397,5550
2023-02-16,5449,7430,4072,5573
2023-02-17,5341,7799,4603,6906
2023-02-18,4827,6912,4320,6808
2023-02-19,5012,7128,5504,8721
2023-02-20,5555,7588,4602,6803
2023-02-21,4814,6700,4612,6128
2023-02-22,5418,7954,4808,6600
2023-02-23,6026,9170,4799,6212
2023-02-24,5544,10054,5311,7216
2023-02-25,5346,10473,5137,7588
2023-02-26,5086,8471,6027,10098
2023-02-27,5321,9668,5112,9084
2023-02-28,5373,9930,5381,9603
2023-03-01,5536,10681,5106,7668
2023-03-02,6010,9617,5031,6360
2023-03-03,6097,9665,5456,7568
2023-03-04,5326,8161,5066,8719
2023-03-05,5639,7508,5579,12729
2023-03-06,5899,7924,5137,11805
2023-03-07,5490,7296,5253,9613
2023-03-08,6068,7892,5217,7791
2023-03-09,6956,9029,5021,7144
2023-03-10,6780,9504,5884,8074
2023-03-11,6105,8714,5511,7808
2023-03-12,5950,8402,6978,10347
2023-03-13,6847,8605,5768,8439
2023-03-14,5517,7592,5360,7364
2023-03-15,6784,8653,5849,7569
2023-03-16,7337,9439,5224,7662
2023-03-17,7706,10661,6150,8679
2023-03-18,6731,9777,5569,8509
2023-03-19,6934,9626,6715,11008
2023-03-20,7708,9943,5980,8466
2023-03-21,6826,8892,5556,8808
2023-03-22,7537,9405,5553,8322
2023-03-23,7993,10153,5491,8390
2023-03-24,8532,10183,6429,9468
2023-03-25,7074,8458,6388,9564
2023-03-26,7758,9221,8545,12243
2023-03-27,7454,9445,6639,10259
2023-03-28,6594,7599,6426,8948
2023-03-29,6851,9820,5504,10131
2023-03-30,7936,9672,5335,8650
2023-03-31,8068,11162,4640,6930
2023-04-01,7497,12238,3696,6133
2023-04-02,6101,10358,5536,9270
2023-04-03,5598,8827,4536,10036
2023-04-04,4975,9046,3734,7107
2023-04-05,6386,11184,3489,7124
2023-04-06,5516,12707,3370,7211
2023-04-07,5401,11774,4187,8081
2023-04-08,4777,8523,4935,10075
2023-04-09,3770,7061,7025,13112
2023-04-10,3499,5143,4959,11284
2023-04-11,4912,8422,4674,9068
2023-04-12,5086,13008,4604,9201
2023-04-13,6152,11956,4774,7444
2023-04-14,6142,11124,6439,9099
2023-04-15,5257,8455,6475,10417
2023-04-16,5666,8401,7818,12355
2023-04-17,8233,11696,6266,9126
2023-04-18,7425,12658,5888,8620
2023-04-19,7128,13218,5843,9151
2023-04-20,7472,14328,6320,10495
2023-04-21,7272,14676,6734,12037
2023-04-22,6743,12337,6883,12780
2023-04-23,7717,12055,7053,14928
2023-04-24,7549,11171,5541,12126
2023-04-25,7722,9146,6213,12788
2023-04-26,8106,10938,7176,13638
2023-04-27,9994,11568,9467,12242
2023-04-28,11095,14462,12030,11397
2023-04-29,12068,15082,13292,11190
2023-04-30,9444,10032,9184,13214
2023-05-01,7340,7966,7776,16127
2023-05-02,8947,8618,9974,11928
2023-05-03,13733,11080,10803,9811
2023-05-04,11613,12063,7694,8460
2023-05-05,8908,11971,6145,9834
2023-05-06,7992,9535,6882,11076
2023-05-07,9280,10247,7596,14718
2023-05-08,7790,10602,6004,9948
2023-05-09,7557,9850,5757,9279
2023-05-10,7888,10134,5383,8180
2023-05-11,8999,10380,6400,8335
2023-05-12,8846,10884,7100,10157
2023-05-13,8234,9533,6339,10163
2023-05-14,8169,9532,8482,12107
2023-05-15,8461,10401,7178,9695
2023-05-16,7014,9533,6419,9201
2023-05-17,7088,10440,6194,8890
2023-05-18,9009,11145,6019,8685
2023-05-19,8387,12150,6688,9718
2023-05-20,7296,10067,5926,10577
2023-05-21,7099,9639,7398,12970
2023-05-22,7632,9118,6100,10906
2023-05-23,6927,9121,5664,10260
2023-05-24,6923,10174,5194,8428
2023-05-25,7684,11680,5103,7412
2023-05-26,7582,13112,6043,8862
2023-05-27,7254,10775,5702,10122
2023-05-28,5769,7901,6877,13022
2023-05-29,6933,8127,5954,12035
2023-05-30,6100,8652,5730,10066
2023-05-31,6068,9872,5389,8800
2023-06-01,7179,12366,4705,7603
2023-06-02,7106,13998,5424,9255
2023-06-03,6874,13837,5541,9433
2023-06-04,6524,11167,6399,13374
2023-06-05,7599,11046,5146,13630
2023-06-06,6600,9998,5311,12450
2023-06-07,7091,11169,5207,9693
2023-06-08,7703,12527,5372,9277
2023-06-09,7803,13943,6098,10118
2023-06-10,7774,12839,6240,10075
2023-06-11,7341,12122,7718,13754
2023-06-12,7833,11688,6231,13239
2023-06-13,6629,9941,5807,11986
2023-06-14,7680,11245,5480,10755
2023-06-15,8208,11798,5879,9999
2023-06-16,9457,12892,6743,11165
2023-06-17,9761,12059,6931,10568
2023-06-18,8100,10717,8248,14259
2023-06-19,8348,11303,7566,12311
2023-06-20,8073,11271,6787,10960
2023-06-21,9892,14279,6129,8592
2023-06-22,9776,15370,5869,8749
2023-06-23,8567,13386,7173,10123
2023-06-24,9188,11404,8601,12818
2023-06-25,7442,9427,7490,17651
2023-06-26,8718,11008,6562,14260
2023-06-27,8886,11190,6352,11509
2023-06-28,8692,12824,6265,10172
2023-06-29,9424,13501,6436,10719
2023-06-30,9113,11626,6979,10231
2023-07-01,8809,12864,7453,11359
2023-07-02,7609,10814,8115,14435
2023-07-03,8419,11053,7455,11928
2023-07-04,8203,10995,7395,11472
2023-07-05,8657,11581,7675,10504
2023-07-06,9347,12582,7631,11112
2023-07-07,8720,12305,9063,10999
2023-07-08,9083,11511,9264,11348
2023-07-09,8536,11044,9977,13918
2023-07-10,9022,11655,9019,12184
2023-07-11,8229,10344,8807,11464
2023-07-12,8736,11071,8276,10703
2023-07-13,9198,11504,7735,10374
2023-07-14,9066,12584,8361,10589
2023-07-15,9923,12772,8380,10261
2023-07-16,9280,10405,9127,12684
2023-07-17,8819,10865,7727,11969
2023-07-18,8774,10480,8707,11337
2023-07-19,8916,10499,7497,10591
2023-07-20,9971,10898,7484,9224
2023-07-21,9988,11401,7923,10215
2023-07-22,10386,10464,8344,10150
2023-07-23,9401,9435,9455,12294
2023-07-24,9695,10416,8660,10691
2023-07-25,9287,9728,8796,10767
2023-07-26,9293,10491,8382,9538
2023-07-27,9833,12120,8257,9629
2023-07-28,9267,13056,8500,10523
2023-07-29,9451,11623,9384,11267
2023-07-30,8816,9546,9386,14231
2023-07-31,8880,9336,8729,12906
2023-08-01,9363,9717,8500,11304
2023-08-02,10230,10866,8275,10360
2023-08-03,10845,11374,9112,9425
2023-08-04,10668,11934,9204,10198
2023-08-05,10593,11440,9868,10901
2023-08-06,9750,9670,10743,12863
2023-08-07,10492,9731,9379,10943
2023-08-08,9509,9675,9586,10361
2023-08-09,9825,11349,9022,10091
2023-08-10,11093,12789,9647,9768
2023-08-11,10503,13957,9999,10314
2023-08-12,10594,12990,10339,11356
2023-08-13,9604,9714,10702,13740
2023-08-14,10404,10705,9600,14355
2023-08-15,10015,9506,9789,12579
2023-08-16,11043,12109,9528,11484
2023-08-17,11794,12626,9676,9710
2023-08-18,10577,12511,10190,9864
2023-08-19,10866,11507,10514,12007
2023-08-20,10074,9790,10887,13026
2023-08-21,10869,10913,8882,11879
2023-08-22,10399,9763,9218,10434
2023-08-23,10355,10674,8842,9319
2023-08-24,11433,12802,8863,9490
2023-08-25,9972,13375,9423,9963
2023-08-26,9833,12254,10056,10431
2023-08-27,8331,9741,10309,13422
2023-08-28,8035,10346,8776,13775
2023-08-29,6805,8721,9072,11287
2023-08-30,6387,9328,8119,9800
2023-08-31,6968,11895,9052,10421
2023-09-01,1995,4885,2236,3133
2023-09-02,3888,9621,4108,8726
2023-09-03,7534,13640,8181,13679
2023-09-04,7747,13562,6028,10505
2023-09-05,6815,13623,5736,9377
2023-09-06,6115,11619,6173,9454
2023-09-07,7126,11938,6151,10189
2023-09-08,7171,12085,7223,12607
2023-09-09,6573,11913,6404,14166
2023-09-10,6525,11039,8124,14915
2023-09-11,7877,11036,6198,11450
2023-09-12,6425,9724,6058,10092
2023-09-13,6493,10696,6017,9322
2023-09-14,7057,12973,6456,9851
2023-09-15,7155,15124,7420,10747
2023-09-16,7078,16508,6354,10908
2023-09-17,7695,15366,8470,14621
2023-09-18,7913,14272,6570,13179
2023-09-19,6900,14344,6456,11719
2023-09-20,7262,13153,6597,9960
2023-09-21,7992,13948,6946,11327
2023-09-22,7345,13334,8365,13291
2023-09-23,8117,12530,8882,16443
2023-09-24,7542,10495,9530,18615
2023-09-25,7169,9588,7844,15913
2023-09-26,6603,8742,11579,13541
2023-09-27,7895,10780,14471,11879
2023-09-28,9367,14146,18098,12176
2023-09-29,10744,13086,16384,9648
2023-09-30,10952,11050,14472,11537
2023-10-01,9691,8106,13546,15188
2023-10-02,6836,7024,12966,13221
2023-10-03,10669,8509,12166,11382
2023-10-04,17404,11104,11628,8668
2023-10-05,24805,11780,10906,7739
2023-10-06,26785,14254,9773,7973
2023-10-07,17238,17340,7292,8191
2023-10-08,11925,14809,5258,9891
2023-10-09,11694,14644,5549,14075
2023-10-10,8040,14020,4842,14863
2023-10-11,7046,15813,4383,10486
2023-10-12,7395,18705,4985,10554
2023-10-13,6743,18944,5052,11168
2023-10-14,6629,17547,5824,13902
2023-10-15,6516,15586,7004,17844
2023-10-16,6600,14823,5374,14935
2023-10-17,5746,12906,5010,13548
2023-10-18,6517,14328,4962,13611
2023-10-19,7090,17346,5093,14025
2023-10-20,7098,18230,4964,12620
2023-10-21,6721,17891,4901,13504
2023-10-22,5575,14273,6599,17043
2023-10-23,5883,11442,5656,17347
2023-10-24,5664,12568,5211,15264
2023-10-25,6966,15500,4988,12873
2023-10-26,7690,18806,6805,13563
2023-10-27,6742,19482,6101,14880
2023-10-28,5938,16184,5916,16099
2023-10-29,6017,14850,7239,20158
2023-10-30,6698,15793,6513,17500
2023-10-31,5553,14692,5628,15994
2023-11-01,5839,17420,4879,14241
2023-11-02,6801,19381,5027,15547
2023-11-03,6921,18777,5893,16105
2023-11-04,5958,15954,5776,18331
2023-11-05,6009,14095,7334,22667
2023-11-06,6692,14944,5890,18384
2023-11-07,6080,14140,5097,15157
2023-11-08,6844,15675,5180,13614
2023-11-09,6779,17934,4936,13345
2023-11-10,7481,19469,6167,14719
2023-11-11,6642,18569,6445,16021
2023-11-12,7066,16238,7634,20297
2023-11-13,7737,18942,5925,17591
2023-11-14,6992,18959,5105,15605
2023-11-15,6562,17420,5471,14468
2023-11-16,7020,18940,6421,15960
2023-11-17,8040,19920,7008,18924
2023-11-18,7504,18461,6095,20930
2023-11-19,7661,15264,7773,22397
2023-11-20,7878,15598,6062,18836
2023-11-21,6607,14224,5864,16508
2023-11-22,7116,17692,5876,14787
2023-11-23,8120,22123,7017,14453
2023-11-24,8851,20132,6261,15203
2023-11-25,7133,19258,6725,18332
2023-11-26,7030,16198,8586,24336
2023-11-27,6978,15558,6497,20235
2023-11-28,6618,14297,5692,17225
2023-11-29,7285,16034,5328,15607
2023-11-30,8596,18331,6086,16119
2023-12-01,9150,19585,6793,14458
2023-12-02,7615,19047,6647,16256
2023-12-03,7089,16202,8918,21124
2023-12-04,7099,16063,6762,17674
2023-12-05,6301,15548,6068,18099
2023-12-06,7487,16217,6029,15296
2023-12-07,8038,19887,6265,15403
2023-12-08,8177,21979,6688,15539
2023-12-09,7858,20223,6509,18217
2023-12-10,9091,16100,8147,23016
2023-12-11,8245,14828,6283,20773
2023-12-12,7023,13653,5793,17893
2023-12-13,8516,15125,5880,15201
2023-12-14,9593,17832,6646,14658
2023-12-15,10080,19679,7203,14204
2023-12-16,9466,20593,6747,15017
2023-12-17,8924,17271,9002,19672
2023-12-18,8959,16624,7299,18390
2023-12-19,7482,14126,6612,18754
2023-12-20,7843,16123,6032,17197
2023-12-21,8892,19119,5639,13931
2023-12-22,10671,23867,4497,11459
2023-12-23,10697,27555,4123,11604
2023-12-24,7331,22560,6719,14920
2023-12-25,6998,20491,6654,17880
2023-12-26,5423,18787,7091,20035
2023-12-27,6525,20488,6023,19592
2023-12-28,7272,22689,6340,18839
2023-12-29,9403,25708,8070,19384
2023-12-30,8817,24382,7546,21857
2023-12-31,4912,14493,5862,19225
2024-01-01,4851,10011,11546,30575
2024-01-02,6715,13580,7870,27863
2024-01-03,7505,16242,6400,22206
2024-01-04,6704,17216,5186,16894
2024-01-05,7050,17919,6348,16889
2024-01-06,7237,16273,6035,18362
2024-01-07,7287,14987,8645,21244
2024-01-08,7256,16265,6832,17871
2024-01-09,5995,14655,6280,15204
2024-01-10,6741,15272,6549,15198
2024-01-11,7499,16891,6574,15241
2024-01-12,8960,17735,7510,17099
2024-01-13,8390,17994,7021,15709
2024-01-14,8248,16421,9676,20798
2024-01-15,9368,16505,7710,16582
2024-01-16,8093,15456,7356,16245
2024-01-17,9221,16488,7451,14819
2024-01-18,9047,18415,7703,14516
2024-01-19,11114,20191,9014,16351
2024-01-20,11701,18384,9997,16940
2024-01-21,11386,16040,12401,21758
2024-01-22,11228,16100,10873,18343
2024-01-23,11229,15154,10875,16499
2024-01-24,11189,16145,11122,15365
2024-01-25,11639,19263,11302,15163
2024-01-26,12240,20472,12719,16624
2024-01-27,14187,17753,13492,17588
2024-01-28,13870,14748,14526,23558
2024-01-29,14146,13733,12354,19378
2024-01-30,13190,11701,13385,17708
2024-01-31,13281,12477,14432,16116
2024-02-01,14040,16160,15274,13946
2024-02-02,13773,15503,16281,15089
2024-02-03,15056,14602,15829,15692
2024-02-04,15129,11621,15615,20260
2024-02-05,14846,9840,16750,16177
2024-02-06,15618,9118,15615,13812
2024-02-07,17138,12223,11561,10981
2024-02-08,17444,16448,9516,9205
2024-02-09,13191,17586,5942,6781
2024-02-10,15127,17116,7223,7481
2024-02-11,17937,13100,10866,11911
2024-02-12,17682,10993,12898,15258
2024-02-13,12699,8336,14318,15111
2024-02-14,14947,10141,15187,14298
2024-02-15,17636,12223,15004,12165
2024-02-16,17689,12528,14913,11039
2024-02-17,13446,10800,13418,12065
2024-02-18,9532,10526,12544,13949
2024-02-19,15547,13852,10541,9612
